gene,ligand,tf,pair,cell_type,mean,std,n
CD4,EBI3,HDAC2,EBI3#HDAC2,MAST,0.0,0.0,52
CD4,IL21,HDAC2,IL21#HDAC2,MAST,0.0,0.0,52
CD4,IL18,KLF16,IL18#KLF16,MAST,0.0,0.0,52
CD4,IL22,KLF16,IL22#KLF16,MAST,0.0,0.0,52
CD4,BMP6,KLF5,BMP6#KLF5,MAST,0.0,0.0,52
CD4,EBI3,MAX,EBI3#MAX,MAST,0.0,0.0,52
CD4,PDGFD,MEF2A,PDGFD#MEF2A,MAST,0.0,0.0,52
CD4,SHH,MEF2A,SHH#MEF2A,MAST,0.0,0.0,52
CD4,IL26,MEF2A,IL26#MEF2A,MAST,0.0,0.0,52
CD4,VEGFA,MEF2C,VEGFA#MEF2C,MAST,0.0,0.0,52
CD4,ADM,NF1,ADM#NF1,MAST,0.0,0.0,52
CD4,CSF1,NFATC1,CSF1#NFATC1,MAST,0.0,0.0,52
CD4,ANGPTL4,NFATC2,ANGPTL4#NFATC2,MAST,0.0,0.0,52
CD4,IL18,NFATC4,IL18#NFATC4,MAST,0.0,0.0,52
CD4,TGFB1,NFATC4,TGFB1#NFATC4,MAST,0.0,0.0,52
CD4,BMP2,REST,BMP2#REST,MAST,0.0,0.0,52
CD4,BMP2,RXRA,BMP2#RXRA,MAST,0.0,0.0,52
CD4,BMP6,RXRA,BMP6#RXRA,MAST,0.0,0.0,52
CD4,CXCL12,RXRA,CXCL12#RXRA,MAST,0.0,0.0,52
CD4,IL18,SIN3A,IL18#SIN3A,MAST,0.0,0.0,52
CD4,CXCL12,SIN3A,CXCL12#SIN3A,MAST,0.0,0.0,52
CD4,EBI3,SMC3,EBI3#SMC3,MAST,0.0,0.0,52
CD4,CNTF,SP3,CNTF#SP3,MAST,0.0,0.0,52
CD4,PDGFC,TBX2,PDGFC#TBX2,MAST,0.0,0.0,52
CD4,BMP4,TBX2,BMP4#TBX2,MAST,0.0,0.0,52
CD4,BMP4,TFAP2A,BMP4#TFAP2A,MAST,0.0,0.0,52
CD4,IL7,USF1,IL7#USF1,MAST,0.0,0.0,52
CD4,BMP6,VDR,BMP6#VDR,MAST,0.0,0.0,52
CD4,SHH,ZFX,SHH#ZFX,MAST,0.0,0.0,52
CD4,EBI3,ZFX,EBI3#ZFX,MAST,0.0,0.0,52
CD4,IL26,CTCF,IL26#CTCF,MNP,1.0765067e-10,5.644995e-12,335
CD4,EBI3,CTCF,EBI3#CTCF,MNP,-1.73907e-08,1.4142588e-10,335
CD4,IL18,E2F1,IL18#E2F1,MNP,-6.4471064e-09,4.1098e-11,335
CD4,CSF1,EGR2,CSF1#EGR2,MNP,1.0343431e-08,3.148153e-10,335
CD4,IL18,ELK1,IL18#ELK1,MNP,1.6008386e-07,1.158171e-09,335
CD4,ADM,ELK1,ADM#ELK1,MNP,1.1694659e-08,6.629151e-10,335
CD4,VEGFA,ETS1,VEGFA#ETS1,MNP,-6.831912e-08,3.750912e-10,335
CD4,TGFB1,ETS1,TGFB1#ETS1,MNP,-1.5162301e-09,7.84732e-12,335
CD4,BMP2,FOXO1,BMP2#FOXO1,MNP,9.127448e-08,9.728433e-10,335
CD4,PDGFD,FOXO1,PDGFD#FOXO1,MNP,5.0886193e-09,2.8849353e-11,335
CD4,IGF1,FOXO3,IGF1#FOXO3,MNP,1.7815221e-08,1.2110923e-10,335
