,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
176,SLC22A4,SLC29A1,3345.978149252787,1.3945585808032839,0.08157449629216867,0.26511711294954815,0.0021445505080331735,32378.548474963045,0.000999001,0.002838221302299162,0.10886924570895468,True
180,SLC22A1,SLC22A2,7511.846943014326,2.7818409586353807,0.0027025760413446967,0.016329649601927815,0.0037778139577581402,369.3417282227948,0.003996004,0.009216589605315559,0.005140182215363312,True
186,SLC3A2,SLC43A2,-12671.45921021659,-4.919389491896803,0.9999995659271741,1.0,-0.008681815822138783,29306.427822232134,0.002997003,0.0071827614518642086,0.02279318785066075,True
187,SLC3A1,SLC7A5,-226.7687284098921,-0.08922979045820677,0.5355503547809356,0.7982151228698199,-0.0001288003210545877,7247.0434886569155,0.000999001,0.002838221302299162,0.08333093832548862,True
188,MSR1,MSR1,52396.66253973161,20.739171689334665,7.677341607079826e-96,2.994163226761132e-94,0.03499827333501108,42039.05719736272,0.000999001,0.002838221302299162,0.048207187745409046,True
190,CPT1A,CPT1A,22184.19244764372,8.78074582731393,8.119708042543176e-19,1.29013138898186e-17,0.01557961907078048,102358.19193315436,0.000999001,0.002838221302299162,0.06255404702670586,True
191,CD36,MSR1,13282.6472999118,5.111949744926692,1.5942533021650077e-07,1.5198548147306407e-06,0.008151023173438472,25733.691553274468,0.000999001,0.002838221302299162,0.03271551672521509,True
192,CD36,CD36,64140.54146139401,25.387527318291532,1.7316408834738803e-142,1.061248484300421e-140,0.039360454885539665,38829.31122342655,0.000999001,0.002838221302299162,0.049364117780332686,True
193,CPT1A,MSR1,-13501.405857728962,-5.479566440340909,0.9999999786815339,1.0,-0.009481830843284234,47739.659611232404,0.000999001,0.002838221302299162,0.02917508463133258,True
195,SLC6A1,SLC6A1,3265.754396960277,1.2926212825559424,0.09807103754456281,0.3081165793729698,0.0019235337403106687,255.07500443983486,0.007992008,0.01722900167425823,0.0034528863420997553,True
196,SLC6A12,SLC6A12,3700.032873458171,1.4645134498908934,0.07152685543681661,0.2454801678591546,0.0024177023207618137,527.1021149234598,0.002997003,0.0071827614518642086,0.004978741761915962,True
200,SLC22A2,SLC5A7,3211.787328930859,1.2333232122690498,0.10872760048190572,0.33139078442217007,0.0017203670407488047,329.89654181079027,0.012987013,0.026915113846568958,0.005260611286354021,True
201,SLCO1C1,SLCO1C1,4024.397299094653,1.592900434616999,0.05559126439718187,0.20737958631644365,0.0022093223836647372,487.1234068133675,0.002997003,0.0071827614518642086,0.004183989047710871,True
203,ABCA1,ABCA1,37295.90542071051,14.76212698170956,1.2852230149442106e-49,2.9018982811108755e-48,0.023041270962643273,129883.5425938376,0.000999001,0.002838221302299162,0.05296671659462008,True
204,ABCG2,CD36,4747.472892301579,1.827108880697946,0.0338417001307263,0.14233420937334884,0.0026467697921107158,3448.4153333783192,0.000999001,0.002838221302299162,0.03050915662409038,True
205,ABCB1,CD36,3080.5087991786436,1.1233438789197836,0.13064573743984198,0.3812722541611715,0.001511317941402312,5401.313009466185,0.018981019,0.03752468740095466,0.023534580441842593,True
208,ABCB1,ABCB1,3602.6769324616707,1.4259789044172746,0.07693721572770464,0.25785988708738505,0.0017674970727424358,1043.1021658007173,0.014985015,0.030612244284046547,0.004545000777972577,True
209,SLC6A3,SLC6A3,4812.36383868435,1.9047862028681721,0.02840393404172048,0.12185287703898086,0.0025699919467122314,645.278511973849,0.000999001,0.002838221302299162,0.004486967189302223,True
211,SLC22A5,SLC6A3,-1194.957712164871,-0.4550104543732567,0.6754491411386343,0.8780838834802246,-0.0009461059775161266,3903.971115352215,0.000999001,0.002838221302299162,0.007489766703166051,True
213,ATP7A,SLC20A2,2660.8616490383583,1.0531486261509952,0.1461364398151816,0.39002944340561,0.001535696513599094,14130.162625603032,0.000999001,0.002838221302299162,0.037562288449062224,True
214,ATP7A,ATP7B,-1056.5821385646063,-0.4181871041837676,0.6620948381811487,0.8739651863991162,-0.0006097985241401591,4304.8148353092665,0.000999001,0.002838221302299162,0.01144351277816862,True
215,ATP7A,ATP7A,2945.5688541343043,1.1658883453182822,0.12182979585051762,0.36044815461980734,0.0017000131598329936,3337.5623099481263,0.000999001,0.002838221302299162,0.008872260109436616,True
216,ATP7B,SLC20A2,9339.298030720682,4.087558625460662,2.179682672054145e-05,0.00017643091817192986,0.006689557669190361,12428.744428050319,0.000999001,0.002838221302299162,0.05577462719510183,True
217,ATP7B,ATP7B,8413.063465013023,3.3299824679075374,0.00043425726251868703,0.003104939427008612,0.006026113851237724,2850.3226835196483,0.000999001,0.002838221302299162,0.01279096902984503,True
218,SLC20A2,SLC20A2,17166.592910112508,6.794725091770361,5.425962989268452e-12,6.650680349703331e-11,0.013213228141242563,23563.65980137737,0.000999001,0.002838221302299162,0.037946110430957074,True
221,SLC19A1,SLC19A1,3880.8796670401653,1.536094587310068,0.06225759180796694,0.22760315668686035,0.002657280100579427,2535.319574709206,0.000999001,0.002838221302299162,0.010684535401761036,True
222,CHRNA5,CHRNA5,5812.7957054802755,2.3007680697137802,0.01070237209038049,0.055991678375283294,0.003669674673361379,700.3562602169982,0.000999001,0.002838221302299162,0.006275870210379363,True
223,CHRNA5,SLC29A1,2605.56163341305,1.0752983357159123,0.14112059055018322,0.38808162401300383,0.0016449164946573608,13718.896700849102,0.000999001,0.002838221302299162,0.12293459773951904,True
229,ABCG2,FOLR1,2931.0676574847234,1.1382866890786865,0.12750039516673373,0.3746415720995121,0.0016341033451804008,531.507306334036,0.025974026,0.049523809477686885,0.004702403303579812,True
232,ABCC3,ABCC3,7298.8010065403,2.8889452087935084,0.001932682095161904,0.01201624085252836,0.004764075531811801,1672.346278403916,0.000999001,0.002838221302299162,0.009014744020354078,True
234,FOLR1,SLC19A1,975.1526817279009,0.378702727859512,0.35245431372564995,0.6667050405157583,0.0005371786950570161,1213.8323285104716,0.003996004,0.009216589605315559,0.012161710097555628,True
237,ABCC3,ABCG2,897.9702539634261,0.3513828172838024,0.3626505856996166,0.673165286266675,0.000586123407306017,1009.4600285228662,0.01098901,0.023223080952179256,0.005441470988052791,True
238,ABCC4,ABCC4,11199.805438829893,4.433005398137847,4.6464269219955905e-06,3.986634299072217e-05,0.005864348473291265,1738.4588112190913,0.000999001,0.002838221302299162,0.007916099112304058,True
240,ABCC3,SLC19A1,5935.912627212172,2.4827449294927626,0.006518720248149551,0.03585296136482253,0.0038744906294792643,3231.19979860313,0.000999001,0.002838221302299162,0.01741770794672201,True
241,FOLR2,FOLR2,8272.01724659234,3.2741548331275583,0.0005298926234679512,0.003608316435996049,0.004164236107430423,2329.5933372599643,0.000999001,0.002838221302299162,0.007271371024540533,True
