gene,tf,cell_type,mean,std,n
CD3G,FOXA1,other,0.00015984842,0.007288462,190549
CD3G,HNF4A,other,0.008751833,0.015106282,190549
CD3G,IRF1,other,-0.00023631412,0.004676316,190549
CD3G,IRF3,other,0.013917868,0.02178985,190549
CD3G,IRF4,other,0.0036436848,0.031896174,190549
CD3G,IRF8,other,0.002667619,0.0073710894,190549
CD3G,LMO2,other,0.01079701,0.015266249,190549
CD3G,MAFF,other,0.0042615095,0.0080439765,190549
CD3G,MAX,other,0.0071332194,0.029707596,190549
CD3G,MYC,other,-0.00066781574,0.0077594854,190549
CD3G,NHLH2,other,0.009115606,0.016936481,190549
CD3G,NR3C1,other,0.006392943,0.038266618,190549
CD3G,NR4A1,other,-0.00037686224,0.0046015317,190549
CD3G,NR4A3,other,-0.009232447,0.015851175,190549
CD3G,PAX5,other,0.00071050803,0.017292019,190549
CD3G,PAX6,other,0.009652651,0.009387428,190549
CD3G,REL,other,0.01548675,0.021456117,190549
CD3G,RELA,other,0.0080276,0.038991246,190549
CD3G,RFX5,other,-0.000616733,0.018132074,190549
CD3G,RXRA,other,0.0066564917,0.011801146,190549
CD3G,SMAD4,other,0.000545232,0.028567256,190549
CD3G,SMC3,other,0.0067457054,0.028516559,190549
CD3G,SP1,other,0.006859047,0.01399965,190549
CD3G,SREBF1,other,0.008693877,0.016705316,190549
CD3G,STAT1,other,0.002381155,0.024434924,190549
CD3G,STAT2,other,-2.2842847e-05,0.0327411,190549
CD3G,STAT3,other,0.0067650666,0.0231225,190549
CD3G,TCF4,other,-0.0004816841,0.0067107924,190549
CD3G,WT1,other,0.004923277,0.009311783,190549
CD3G,ZEB1,other,0.0041347817,0.0062052417,190549
CD3G,ZIC2,other,0.0021233668,0.012661247,190549
CD3G,ZNF76,other,0.0015697044,0.01197618,190549
CD4,ATOH8,Effector CD8 T cell,-0.18990572,0.013264776,2432
CD4,BATF3,Effector CD8 T cell,-0.09962314,0.030018639,2432
CD4,BCL3,Effector CD8 T cell,-0.13714129,0.017474424,2432
CD4,CTCF,Effector CD8 T cell,0.2756994,0.11541516,2432
CD4,CTCFL,Effector CD8 T cell,-0.19064362,0.015680568,2432
CD4,E2F1,Effector CD8 T cell,-0.35894072,0.02706137,2432
CD4,E2F3,Effector CD8 T cell,-0.18343727,0.042315308,2432
CD4,E2F4,Effector CD8 T cell,0.98765695,0.16005942,2432
CD4,EGR2,Effector CD8 T cell,-0.21629773,0.08400756,2432
CD4,EGR3,Effector CD8 T cell,0.13800052,0.056123428,2432
CD4,EGR4,Effector CD8 T cell,0.022189695,0.019576019,2432
CD4,ELK1,Effector CD8 T cell,0.49299803,0.14475782,2432
CD4,ETS1,Effector CD8 T cell,0.07634145,0.0045346087,2432
CD4,FOXA1,Effector CD8 T cell,0.005133929,0.0047378354,2432
CD4,FOXC1,Effector CD8 T cell,-0.13315699,0.054328978,2432
CD4,FOXD2,Effector CD8 T cell,-0.3479866,0.024220727,2432
CD4,FOXE1,Effector CD8 T cell,-0.120120265,0.02319886,2432
CD4,FOXE3,Effector CD8 T cell,0.23491082,0.016471403,2432
CD4,FOXI1,Effector CD8 T cell,-0.23417169,0.018289166,2432
CD4,FOXL2,Effector CD8 T cell,0.23693238,0.02602515,2432
CD4,FOXO1,Effector CD8 T cell,0.51441187,0.23317935,2432
CD4,FOXO3,Effector CD8 T cell,-0.2481659,0.021075124,2432
CD4,FOXO4,Effector CD8 T cell,0.16287625,0.104016185,2432
CD4,GATA1,Effector CD8 T cell,-0.04105848,0.010388092,2432
CD4,GATA2,Effector CD8 T cell,-0.03769967,0.018952165,2432
CD4,HDAC2,Effector CD8 T cell,0.10131977,0.007138712,2432
CD4,HNF4A,Effector CD8 T cell,0.1994118,0.010488153,2432
CD4,HOXA9,Effector CD8 T cell,0.050780017,0.0062784646,2432
CD4,KLF14,Effector CD8 T cell,0.017553622,0.00377651,2432
CD4,KLF16,Effector CD8 T cell,-0.35143498,0.17101295,2432
CD4,KLF5,Effector CD8 T cell,-0.051302128,0.012681934,2432
CD4,LMO2,Effector CD8 T cell,-0.13849616,0.027169108,2432
CD4,MAX,Effector CD8 T cell,-0.07032933,0.07165132,2432
CD4,MEF2A,Effector CD8 T cell,-0.00067637797,0.0034183434,2432
CD4,MEF2C,Effector CD8 T cell,-0.22509934,0.12043679,2432
CD4,MEIS1,Effector CD8 T cell,0.13632922,0.02128812,2432
CD4,MYB,Effector CD8 T cell,1.0061462,0.06755673,2432
CD4,MYBL2,Effector CD8 T cell,0.010169889,0.01774458,2432
CD4,NF1,Effector CD8 T cell,-0.021593275,0.013468716,2432
CD4,NFATC1,Effector CD8 T cell,0.28123376,0.058009136,2432
CD4,NFATC2,Effector CD8 T cell,-0.117034934,0.071875475,2432
CD4,NFATC3,Effector CD8 T cell,-0.54839027,0.091685146,2432
