group,left,right,count
tf,-0.5844469,-0.46682212,8
tf,-0.46682212,-0.34919733,14
tf,-0.34919733,-0.23157254,24
tf,-0.23157254,-0.11394774,71
tf,-0.11394774,0.0036770487,1166
tf,0.0036770487,0.121301845,777
tf,0.121301845,0.23892663,83
tf,0.23892663,0.35655144,40
tf,0.35655144,0.47417623,16
tf,0.47417623,0.591801,10
tf,0.591801,0.7094258,3
tf,0.7094258,0.8270506,2
tf,0.8270506,0.9446754,3
tf,0.9446754,1.0623002,3
tf,1.0623002,1.179925,1
tf,1.179925,1.2975497,1
tf,1.2975497,1.4151746,1
tf,1.4151746,1.5327994,1
tf,1.5327994,1.6504241,0
tf,1.6504241,1.768049,1
tf,1.768049,1.8856738,0
tf,1.8856738,2.0032985,4
tf,2.0032985,2.1209233,0
tf,2.1209233,2.238548,1
tf,2.238548,2.3561728,0
tf,2.3561728,2.4737978,2
tf,2.4737978,2.5914226,0
tf,2.5914226,2.7090473,1
tf,2.7090473,2.826672,1
tf,2.826672,2.9442968,0
tf,2.9442968,3.0619216,0
tf,3.0619216,3.1795464,0
tf,3.1795464,3.2971714,0
tf,3.2971714,3.414796,0
tf,3.414796,3.5324209,0
tf,3.5324209,3.6500456,1
