,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
290,other,other,SLC2A9,SLC2A9,-4725.252,-2.425759544986646,0.9923618059649396,0.999999999948286,-0.0024870009790367658,9241.5625,0.000999000999000999,0.0032674092824468764,0.02166974020983937,True
291,other,other,SLC2A1,SLC2A2,352212.47,180.8121061922604,0.0,0.0,0.3000364473243609,3.7697248e+06,0.000999000999000999,0.0032674092824468764,0.4257019753704513,True
292,other,other,SLC2A1,SLC2A9,8279.502,4.250372485904404,1.067076531754548e-05,7.867428666325903e-05,0.0070529937808476075,108581.16,0.000999000999000999,0.0032674092824468764,0.012261694359417787,True
293,other,other,SLC2A3,SLC2A3,118244.02,60.7018570303848,0.0,0.0,0.06055694452913212,362700.22,0.000999000999000999,0.0032674092824468764,0.0879868604879595,True
294,other,other,SLC2A1,SLC2A1,12483.343,6.408459948041426,7.349844168880123e-11,6.660796278047612e-10,0.010634086379074056,6847.12,0.000999000999000999,0.0032674092824468764,0.0007732215885219404,True
295,other,other,SLC1A5,SLC3A2,51785.75,26.584778674862992,5.090411134537049e-156,1.8452740362696805e-154,0.02993861669647987,31929.168,0.000999000999000999,0.0032674092824468764,0.008510442995905754,True
296,other,other,SLC3A2,SLC3A2,19479.139,9.999827952067152,7.633102816702075e-24,1.0376249141454383e-22,0.009994483960279847,110470.875,0.000999000999000999,0.0032674092824468764,0.09450659141090224,True
297,other,other,SLC1A5,SLC1A5,14007.602,7.190954795570741,3.216989172353199e-13,3.1804324772128215e-12,0.008098139237467836,31966.947,0.000999000999000999,0.0032674092824468764,0.008520512740059273,True
298,other,other,SLC7A5,SLC7A5,20047.246,10.29147208339853,3.849510156259695e-25,5.401731993461185e-24,0.010858003593334088,8284.191,0.000999000999000999,0.0032674092824468764,0.01314388387949631,True
299,other,other,SLC1A5,SLC38A7,-573.9171,-0.2946266001797792,0.6158604301599236,0.6598504608856325,-0.0003317956097828938,55947.387,0.000999000999000999,0.0032674092824468764,0.014912291040775807,True
300,other,other,SLC1A5,SLC7A5,-1055.1404,-0.5416678042908933,0.7059763135713094,0.7277243990604729,-0.000610002624728359,14012.659,0.000999000999000999,0.0032674092824468764,0.003734952858355195,True
301,other,other,SLC3A2,SLC7A5,122072.875,62.66743967364025,0.0,0.0,0.0626339496691569,573772.56,0.000999000999000999,0.0032674092824468764,0.49085597563134964,True
302,other,other,SLC7A7,SLC7A7,-440.01352,-0.22588573158050934,0.5893548522068317,0.6490363562277767,-0.00021523709851244032,1728.2212,0.006993006993006993,0.018662319275816207,0.0035865694696896235,True
303,other,other,SLC38A7,SLC7A5,-3422.1648,-1.7568055625708991,0.9605245216815264,0.9739584310756736,-0.001548153250603915,9477.135,0.001998001998001998,0.006252740065689706,0.057230223934199034,True
304,other,other,SLC43A2,SLC43A2,8418.378,4.32166598073975,7.742774743021567e-06,5.807081057266176e-05,0.003892771180827695,6484.7383,0.000999000999000999,0.0032674092824468764,0.010402391693684348,True
305,other,other,SLC1A5,SLC7A11,-597.1541,-0.30655556691458447,0.6204091607156942,0.6614656492924681,-0.00034522949114133,4611.814,0.000999000999000999,0.0032674092824468764,0.0012292390423057234,True
306,other,other,SLC1A5,SLC43A2,-2311.0237,-1.1863891724805191,0.882265677174269,0.8987952448965035,-0.001336059672421977,36447.812,0.000999000999000999,0.0032674092824468764,0.009714848533175063,True
307,other,other,SLC16A1,SLC16A1,12769.223,6.555219498924943,2.778004600160743e-11,2.627026089282442e-10,0.006752365656802324,12183.476,0.000999000999000999,0.0032674092824468764,0.021773463741071586,True
308,other,other,SLC16A4,SLC16A4,10089.937,5.179778787002264,1.1107459014173899e-07,9.116499379557823e-07,0.004101242477289369,1884.24,0.001998001998001998,0.006252740065689706,0.006063524639343395,True
309,other,other,SLCO2A1,SLCO2A1,166944.47,85.70276094700436,0.0,0.0,0.17673320008380045,638622.44,0.000999000999000999,0.0032674092824468764,0.22471308325203593,True
310,other,other,SLC16A1,SLC22A5,283.75943,0.14567099330680658,0.4420905605267626,0.6472916504137413,0.000150052002462843,3910.3596,0.000999000999000999,0.0032674092824468764,0.006988323880271258,True
311,other,other,SLC22A5,SLC22A5,6292.124,3.2301303844759297,0.000618668882560537,0.0034950774534264098,0.003235094546451472,4106.806,0.000999000999000999,0.0032674092824468764,0.01225425601228349,True
312,other,other,SLCO2B1,SLCO2B1,36314.434,18.64240992537239,7.276709423921126e-78,1.8619815290621707e-76,0.017653550057892577,21195.473,0.000999000999000999,0.0032674092824468764,0.02419238004934022,True
313,other,other,SLC1A3,SLC1A3,17025.877,8.740419334358945,1.1612337830127046e-18,1.4031574878070183e-17,0.008961982324923814,1936.819,0.000999000999000999,0.0032674092824468764,0.012296852008494896,True
314,other,other,SLC1A1,SLC1A1,4115.1206,2.1125419737428714,0.017319994876896432,0.07386468403382303,0.0020324507563735943,13486.022,0.000999000999000999,0.0032674092824468764,0.13682579082472335,True
315,other,other,SLC16A1,SLC1A3,-1071.6735,-0.5501552414845698,0.7088935500518291,0.7290040053724484,-0.0005667009867662609,7901.9023,0.000999000999000999,0.0032674092824468764,0.01412173258390373,True
316,other,other,SLC1A3,SLC1A5,848.7698,0.43572520673492104,0.3315180574810134,0.6472916504137413,0.00044677050973190423,13738.116,0.000999000999000999,0.0032674092824468764,0.08722321732797422,True
317,other,other,SLC1A2,SLC1A5,5769.332,2.96174942242951,0.0015294831026980676,0.008015965658718788,0.002474786479492189,440.2886,0.000999000999000999,0.0032674092824468764,0.0032337875155210942,True
318,other,other,SLC16A1,SLC3A2,1023.8377,0.5255982360665984,0.29958369128660345,0.6472916504137413,0.0005414054371595065,1735.2865,0.000999000999000999,0.0032674092824468764,0.0031011838453116176,True
319,other,other,SLC16A1,SLC1A5,10474.56,5.377229216404625,3.782042537089835e-08,3.16382404545015e-07,0.005538947688259615,60014.723,0.000999000999000999,0.0032674092824468764,0.1072541557184707,True
321,other,other,SLC1A3,SLC3A2,2363.613,1.213386490773494,0.11249104441165586,0.4044099530501678,0.0012441449165792168,3490.3674,0.000999000999000999,0.0032674092824468764,0.022160321864368487,True
322,other,other,SLC1A2,SLC3A2,2978.1255,1.528853149214317,0.06315042648561693,0.24096873264248564,0.0012774831908976916,2643.206,0.000999000999000999,0.0032674092824468764,0.01941355431107969,True
323,other,other,SLC39A8,SLC39A8,73071.79,37.51219861840056,2.9135490669038256e-308,1.5842423051289552e-306,0.04121033298896204,77636.875,0.000999000999000999,0.0032674092824468764,0.07299591193701337,True
324,other,other,SLC11A2,SLC3A2,22956.328,11.784881022108545,2.335396291503676e-32,3.907297641554227e-31,0.01164052339712073,83059.38,0.000999000999000999,0.0032674092824468764,0.043530547150494175,True
325,other,other,SLC11A2,SLC40A1,1554.7917,0.798169274507553,0.21238613255404354,0.6472916504137413,0.0007883921863392466,38425.45,0.000999000999000999,0.0032674092824468764,0.020138372961085702,True
326,other,other,SLC3A2,SLC40A1,6119.5913,3.1415588365444167,0.0008402551994697179,0.004512481626781818,0.0031398799611975304,5088.853,0.000999000999000999,0.0032674092824468764,0.0043534565450423805,True
327,other,other,SLC40A1,SLC40A1,21198.473,10.882466775349227,6.986480116164494e-28,1.047972017424674e-26,0.01613281240686159,132198.66,0.000999000999000999,0.0032674092824468764,0.047130863538564056,True
328,other,other,SLC11A2,SLC11A2,-12587.352,-6.4618539924931735,0.999999999948286,0.999999999948286,-0.0063827002111673916,44008.887,0.000999000999000999,0.0032674092824468764,0.023064593709730723,True
329,other,other,CUBN,SLC40A1,203165.08,104.29700518799812,0.0,0.0,0.08049056302074067,508796.1,0.000999000999000999,0.0032674092824468764,4.865701465363086,True
330,other,other,SLC22A4,SLC22A4,7343.0293,3.7696240502543015,8.17468163412859e-05,0.0005531560541425297,0.003485582305003132,1543.9767,0.001998001998001998,0.006252740065689706,0.0060151972328776025,True
331,other,other,SLC16A9,SLC16A9,24336.043,12.493172661324293,4.067194532031538e-36,7.371790089307163e-35,0.009440859859810831,4779.288,0.000999000999000999,0.0032674092824468764,0.012241578639905838,True
332,other,other,SLC1A5,SLC22A5,9445.45,4.848924712431977,6.206625964592006e-07,4.908876899268222e-06,0.005460647242207593,34371.89,0.000999000999000999,0.0032674092824468764,0.009161529549152914,True
333,other,other,SLC12A2,SLC5A5,1850.395,0.9499204328470103,0.17107634182829878,0.572447759194692,0.0009549266842775633,2325.5186,0.000999000999000999,0.0032674092824468764,0.0029593470929845512,True
334,other,other,SLC12A2,SLC29A1,3339.4302,1.7143328449101025,0.04323380712328463,0.1709700554420801,0.0017233676871563663,12326.364,0.000999000999000999,0.0032674092824468764,0.015685959658287035,True
