,Cell Type 1,Cell Type 2,Gene 1,Gene 2,C_p,Z,Z_pval,Z_FDR,C_norm_p,C_np,pval_np,FDR_np,C_norm_np,selected
1459,CD8 T Cell,other,SLC29A3,SLC29A3,2847.6462,10.104645807947286,2.6342801632188757e-24,2.1705679247496355e-23,0.08109255977722038,9700.517,0.000999000999000999,0.0036387453605996652,0.40694079593731125,True
1460,CD8 T Cell,other,LRP2,LRP2,5997.8965,21.283057814917832,8.148011657837016e-101,1.018501457229627e-99,0.1645558724681632,21.037018,0.000999000999000999,0.0036387453605996652,0.11260191776835948,True
1461,CD8 T Cell,other,SLC15A1,SLC15A1,860.5549,3.053610396864632,0.0011305275619890975,0.004764675548613055,0.023126558059622618,24.66883,0.000999000999000999,0.0036387453605996652,0.06283400589706449,True
1463,CD8 T Cell,other,CD38,CD38,10271.104,36.44619251357946,3.952154005807977e-291,6.393190303512904e-290,0.2668982203711954,70658.2,0.000999000999000999,0.0036387453605996652,0.6109803963143329,True
1464,CD8 T Cell,other,SLC12A6,SLC12A6,679.4628,2.4110197171492525,0.007953994205114619,0.02950891610666469,0.0137496285908544,1636.3657,0.01898101898101898,0.049069614287005583,0.10238913635906234,True
1465,CD8 T Cell,other,SLC12A2,SLC12A6,1055.197,3.7442825618757283,9.045498463519487e-05,0.0004261262659473848,0.024341143306715756,2815.5154,0.000999000999000999,0.0036387453605996652,0.11131459251540572,True
1466,CD8 T Cell,other,SCARB1,SCARB1,3498.0063,12.41239683413364,1.1192489266331457e-35,1.0433676434715764e-34,0.09444555764651547,7000.5376,0.000999000999000999,0.0036387453605996652,0.38417559343596547,True
1470,CD8 T Cell,other,ABCC3,SLCO2B1,1491.2172,5.291465296080869,6.067010888448833e-08,3.3876710544638153e-07,0.046123878025299284,10504.668,0.000999000999000999,0.0036387453605996652,1.2810207288095758,True
1483,CD8 T Cell,other,ABCG2,SLCO2B1,-32.586193,-0.11562950997850903,0.5460269129048745,0.773508827038457,-0.0007013778805309664,2276.4287,0.000999000999000999,0.0036387453605996652,0.9572190680257991,True
1486,CD8 T Cell,other,SLC22A1,SLCO2B1,375.55655,1.3326324933246911,0.09132621826062393,0.2458670896208182,0.009941094416362628,1520.4387,0.000999000999000999,0.0036387453605996652,1.1388251329955406,True
1487,CD8 T Cell,other,ABCC3,SLC22A1,654.7628,2.323373691713353,0.01007954307451831,0.03647203086174388,0.020252047167945413,272.90924,0.006993006993006993,0.02076196408180214,0.033280670601814936,True
