gene,tf,cell_type,mean,std,n
CD3E,HOXB6,Exhausted CD4,0.0106396265,0.13894542,14488
CD3E,HOXB7,Exhausted CD4,-0.029124038,0.041724768,14488
CD3E,HOXB9,Exhausted CD4,-0.11657631,0.15374635,14488
CD3E,IRX1,Exhausted CD4,0.0036194678,0.00808807,14488
CD3E,MECOM,Exhausted CD4,0.21216407,0.23955372,14488
CD3E,MEF2A,Exhausted CD4,-0.012557022,0.102145486,14488
CD3E,MYEF2,Exhausted CD4,0.3265886,0.18928523,14488
CD3E,NR3C1,Exhausted CD4,-0.011634237,0.08548445,14488
CD3E,PDX1,Exhausted CD4,-0.07071917,0.043628838,14488
CD3E,PITX1,Exhausted CD4,0.109766185,0.041634288,14488
CD3E,POU1F1,Exhausted CD4,0.036182575,0.07092541,14488
CD3E,POU2F1,Exhausted CD4,-0.13852265,0.051581066,14488
CD3E,PPARGC1A,Exhausted CD4,-0.096229725,0.097377606,14488
CD3E,RUNX1,Exhausted CD4,-0.06231518,0.04870847,14488
CD3E,SIN3A,Exhausted CD4,0.08833526,0.030336073,14488
CD3E,SMAD4,Exhausted CD4,-0.013266549,0.033742953,14488
CD3E,STAT1,Exhausted CD4,0.041283086,0.021757057,14488
CD3E,STAT3,Exhausted CD4,-0.06425611,0.043535933,14488
CD3E,STAT5A,Exhausted CD4,0.065337084,0.054797173,14488
CD3E,STAT5B,Exhausted CD4,0.011920817,0.061929174,14488
CD3E,TCF7L2,Exhausted CD4,-0.09289405,0.17978281,14488
CD3E,THRA,Exhausted CD4,-0.1364802,0.102406055,14488
CD3E,THRB,Exhausted CD4,0.584401,0.1511443,14488
CD3E,ZBTB1,Exhausted CD4,-0.05808354,0.19167128,14488
CD3E,ARID3B,Exhausted CD8,-0.62324756,0.62095386,875
CD3E,BCL6,Exhausted CD8,-0.56351316,0.17822197,875
CD3E,BCL6B,Exhausted CD8,-1.1877578,0.8403757,875
CD3E,CTCF,Exhausted CD8,0.62470716,0.22465532,875
CD3E,EHF,Exhausted CD8,2.0307298,0.5919115,875
CD3E,ELK4,Exhausted CD8,1.7994459,0.23247589,875
CD3E,EP300,Exhausted CD8,1.3857702,0.22690852,875
CD3E,ESRRA,Exhausted CD8,-2.5121953,1.0632662,875
CD3E,ETV5,Exhausted CD8,-0.001980643,0.021506036,875
CD3E,FLI1,Exhausted CD8,0.511546,0.10504328,875
CD3E,FOXA1,Exhausted CD8,-0.3446164,0.16487908,875
CD3E,FOXD2,Exhausted CD8,-0.09471666,0.03497122,875
CD3E,FOXI1,Exhausted CD8,0.03318083,0.014494698,875
CD3E,FOXJ2,Exhausted CD8,1.3585753,0.24680686,875
CD3E,FOXL2,Exhausted CD8,-0.09727093,0.15505214,875
CD3E,FOXO1,Exhausted CD8,0.92211956,0.37545028,875
CD3E,FOXO3,Exhausted CD8,-0.60496515,0.1346008,875
CD3E,FOXO4,Exhausted CD8,-1.1109982,0.9103638,875
CD3E,GATA1,Exhausted CD8,0.43199745,0.06832178,875
CD3E,GATA2,Exhausted CD8,-0.51616484,0.5609178,875
CD3E,GATA3,Exhausted CD8,0.7828644,0.30369878,875
CD3E,HOXA5,Exhausted CD8,-1.9446498,0.3423448,875
CD3E,HOXB4,Exhausted CD8,-1.1963421,0.64076906,875
CD3E,HOXB6,Exhausted CD8,-1.1428678,0.39336208,875
CD3E,HOXB7,Exhausted CD8,0.30138627,0.06161305,875
CD3E,HOXB9,Exhausted CD8,1.0759445,0.25378177,875
CD3E,IRX1,Exhausted CD8,0.059490554,0.030871999,875
CD3E,MECOM,Exhausted CD8,-1.9154955,0.3265403,875
CD3E,MEF2A,Exhausted CD8,-0.92689043,0.23554099,875
CD3E,MYEF2,Exhausted CD8,0.0185495,0.047833245,875
CD3E,NR3C1,Exhausted CD8,0.730672,0.30770054,875
CD3E,PDX1,Exhausted CD8,-0.08915632,0.008758293,875
CD3E,PITX1,Exhausted CD8,-0.25061396,0.05274783,875
CD3E,POU1F1,Exhausted CD8,-0.5665946,0.135487,875
CD3E,POU2F1,Exhausted CD8,-0.5039342,0.3879592,875
CD3E,PPARGC1A,Exhausted CD8,0.4912403,0.3386793,875
CD3E,RUNX1,Exhausted CD8,0.009277472,0.031291746,875
CD3E,SIN3A,Exhausted CD8,-0.056763276,0.08122577,875
