gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,PDGFA,PDGFRB,PDGFA$PDGFRB,Cytotoxic CD8,-4.9324985e-06,1.8491672e-06,11464
CD3E,PDGFC,PDGFRA,PDGFC$PDGFRA,Cytotoxic CD8,-1.7266202e-05,4.2675015e-06,11464
CD3E,VEGFA,KDR,VEGFA$KDR,Cytotoxic CD8,-2.7494102e-06,7.5667907e-07,11464
CD3E,VEGFD,KDR,VEGFD$KDR,Cytotoxic CD8,-9.024372e-08,2.2660263e-08,11464
CD3E,CCL8,CCR1,CCL8$CCR1,Cytotoxic CD8,-9.3067785e-09,7.335042e-07,11464
CD3E,CCL7,CCR1,CCL7$CCR1,Cytotoxic CD8,-3.954566e-09,3.0526405e-07,11464
CD3E,CCL13,CCR1,CCL13$CCR1,Cytotoxic CD8,-2.3442054e-08,1.7747399e-06,11464
CD3E,CCL14,CCR1,CCL14$CCR1,Cytotoxic CD8,6.87775e-10,5.306267e-08,11464
CD3E,CCL22,CCR4,CCL22$CCR4,Cytotoxic CD8,-9.41417e-07,3.0543077e-07,11464
CD3E,CCL19,CCR7,CCL19$CCR7,Cytotoxic CD8,-1.2595702e-05,2.276906e-06,11464
CD3E,CXCL9,CXCR3,CXCL9$CXCR3,Cytotoxic CD8,-3.977394e-06,1.4994037e-06,11464
CD3E,CXCL10,CXCR3,CXCL10$CXCR3,Cytotoxic CD8,0.0,0.0,11464
CD3E,CXCL13,CXCR3,CXCL13$CXCR3,Cytotoxic CD8,-3.2638595e-06,1.2502942e-06,11464
CD3E,CXCL12,CXCR4,CXCL12$CXCR4,Cytotoxic CD8,0.002729284,0.00022787869,11464
CD3E,CXCL13,CXCR5,CXCL13$CXCR5,Cytotoxic CD8,0.0,0.0,11464
CD3E,CXCL16,CXCR6,CXCL16$CXCR6,Cytotoxic CD8,0.000449429,0.00012276904,11464
CD3E,CX3CL1,CX3CR1,CX3CL1$CX3CR1,Cytotoxic CD8,-1.7726059e-05,6.4226147e-06,11464
CD3E,IL2,IL2RG,IL2$IL2RG,Cytotoxic CD8,4.9270845e-08,1.6458346e-08,11464
CD3E,IL7,IL2RG,IL7$IL2RG,Cytotoxic CD8,5.5068438e-05,1.8508588e-05,11464
CD3E,IL15,IL2RG,IL15$IL2RG,Cytotoxic CD8,-6.996825e-08,1.4481148e-07,11464
CD3E,IL6,IL6ST,IL6$IL6ST,Cytotoxic CD8,8.895958e-06,2.9377068e-06,11464
CD3E,EBI3,IL6ST,EBI3$IL6ST,Cytotoxic CD8,-4.024539e-06,1.162108e-06,11464
CD3E,IL34,CSF1R,IL34$CSF1R,Cytotoxic CD8,5.597679e-10,5.0212588e-08,11464
CD3E,CSF1,CSF1R,CSF1$CSF1R,Cytotoxic CD8,-1.1274498e-06,4.8722075e-07,11464
CD3E,IL16,CD4,IL16$CD4,Cytotoxic CD8,-0.00072012824,0.00040337187,11464
CD3E,LTA,TNFRSF14,LTA$TNFRSF14,Cytotoxic CD8,-2.8629639e-08,1.2122626e-08,11464
CD3E,TNFSF10,TNFRSF10A,TNFSF10$TNFRSF10A,Cytotoxic CD8,4.2337717e-05,9.040015e-06,11464
CD3E,TNFSF12,TNFRSF12A,TNFSF12$TNFRSF12A,Cytotoxic CD8,5.7961806e-08,4.118843e-08,11464
CD3E,TNFSF13B,TNFRSF13C,TNFSF13B$TNFRSF13C,Cytotoxic CD8,-9.629157e-07,2.9400178e-07,11464
CD3E,CD40LG,ITGAM,CD40LG$ITGAM,Cytotoxic CD8,8.467871e-09,6.600552e-07,11464
CD3E,CD40LG,ITGB2,CD40LG$ITGB2,Cytotoxic CD8,-2.48871e-06,5.873122e-06,11464
CD3E,RETN,TLR4,RETN$TLR4,Cytotoxic CD8,-3.3782255e-09,2.5758254e-07,11464
CD3E,ANGPTL2,TLR4,ANGPTL2$TLR4,Cytotoxic CD8,9.766167e-10,7.522378e-08,11464
CD3E,ANGPTL4,CDH11,ANGPTL4$CDH11,Cytotoxic CD8,-1.1585768e-08,4.0199e-09,11464
CD3E,ANGPT1,TEK,ANGPT1$TEK,Cytotoxic CD8,-2.0917268e-08,5.04594e-09,11464
CD3E,POSTN,ITGAV,POSTN$ITGAV,Cytotoxic CD8,-6.0702864e-06,1.5998909e-06,11464
CD3E,POSTN,ITGB5,POSTN$ITGB5,Cytotoxic CD8,-4.747809e-05,2.0608944e-05,11464
CD3E,C4A,C3AR1,C4A$C3AR1,Cytotoxic CD8,1.1093386e-08,8.4311483e-07,11464
CD3E,C4A,CR2,C4A$CR2,Cytotoxic CD8,0.0,0.0,11464
CD3E,GZMA,F2R,GZMA$F2R,Cytotoxic CD8,4.792788e-05,1.593663e-05,11464
CD3E,FLT3LG,FLT3,FLT3LG$FLT3,Cytotoxic CD8,0.0,0.0,11464
CD3E,SEMA3C,NRP1,SEMA3C$NRP1,Cytotoxic CD8,-0.000103155595,2.9180086e-05,11464
CD3E,SEMA3C,NRP2,SEMA3C$NRP2,Cytotoxic CD8,-9.916867e-10,7.515428e-08,11464
CD3E,ADM,CALCRL,ADM$CALCRL,Cytotoxic CD8,-1.1483369e-06,4.332057e-07,11464
CD3E,GAS6,AXL,GAS6$AXL,Cytotoxic CD8,-4.894002e-05,1.3276952e-05,11464
CD3E,GAS6,TYRO3,GAS6$TYRO3,Cytotoxic CD8,2.8528072e-10,6.672892e-11,11464
CD3E,GRN,SORT1,GRN$SORT1,Cytotoxic CD8,-0.00012123737,2.5022862e-05,11464
CD3E,PROS1,AXL,PROS1$AXL,Cytotoxic CD8,-3.0631732e-08,1.3255483e-08,11464
CD3E,BTLA,TNFRSF14,BTLA$TNFRSF14,Cytotoxic CD8,-1.0224236e-05,3.6908482e-06,11464
CD3E,BAG6,NCR3,BAG6$NCR3,Cytotoxic CD8,-6.394508e-05,1.6328006e-05,11464
CD3E,LGALS9,HAVCR2,LGALS9$HAVCR2,Cytotoxic CD8,6.026508e-05,2.8641683e-05,11464
