gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,TGFB2,TGFBR2,TGFB2$TGFBR2,Gamma delta T cell,0.0,0.0,2417
CD3E,TGFB3,TGFBR1,TGFB3$TGFBR1,Gamma delta T cell,-0.00015263773,3.096014e-05,2417
CD3E,TGFB3,TGFBR2,TGFB3$TGFBR2,Gamma delta T cell,-4.488391e-05,1.29921045e-05,2417
CD3E,TGFB3,ACVR1,TGFB3$ACVR1,Gamma delta T cell,2.0346233e-07,5.5589688e-08,2417
CD3E,BMP7,BMPR2,BMP7$BMPR2,Gamma delta T cell,0.0,0.0,2417
CD3E,BMP8A,BMPR2,BMP8A$BMPR2,Gamma delta T cell,-4.4170257e-08,2.0744578e-08,2417
CD3E,BMP8B,ACVR1,BMP8B$ACVR1,Gamma delta T cell,2.3109101e-07,1.6906971e-07,2417
CD3E,BMP8B,ACVR2A,BMP8B$ACVR2A,Gamma delta T cell,4.4741324e-08,3.021301e-08,2417
CD3E,BMP8B,BMPR2,BMP8B$BMPR2,Gamma delta T cell,-4.9516334e-06,2.0959048e-06,2417
CD3E,BMP8B,BMPR1A,BMP8B$BMPR1A,Gamma delta T cell,1.0082058e-06,2.3369003e-07,2417
CD3E,GDF11,TGFBR1,GDF11$TGFBR1,Gamma delta T cell,-5.9715458e-06,1.4060245e-06,2417
CD3E,GDF11,ACVR2A,GDF11$ACVR2A,Gamma delta T cell,-1.3567275e-06,3.2143902e-07,2417
CD3E,GDF11,ACVR1B,GDF11$ACVR1B,Gamma delta T cell,-3.2709164e-07,1.5549045e-07,2417
CD3E,GDF15,TGFBR2,GDF15$TGFBR2,Gamma delta T cell,0.00018226542,5.636197e-05,2417
CD3E,INHBA,ACVR1B,INHBA$ACVR1B,Gamma delta T cell,-1.2812157e-07,7.7354215e-08,2417
CD3E,INHBA,ACVR2A,INHBA$ACVR2A,Gamma delta T cell,-1.3619817e-05,3.0689412e-06,2417
CD3E,WNT2,FZD1,WNT2$FZD1,Gamma delta T cell,-2.852296e-06,5.7319016e-07,2417
CD3E,WNT2,LRP5,WNT2$LRP5,Gamma delta T cell,3.560794e-08,3.62124e-08,2417
CD3E,WNT3,FZD1,WNT3$FZD1,Gamma delta T cell,-1.3719268e-08,1.0640293e-08,2417
CD3E,WNT3,FZD10,WNT3$FZD10,Gamma delta T cell,0.0,0.0,2417
CD3E,WNT3,FZD4,WNT3$FZD4,Gamma delta T cell,0.0,0.0,2417
CD3E,WNT2,LRP6,WNT2$LRP6,Gamma delta T cell,5.0968094e-08,3.383309e-08,2417
CD3E,WNT3,LRP6,WNT3$LRP6,Gamma delta T cell,0.0,0.0,2417
CD3E,WNT5A,FZD1,WNT5A$FZD1,Gamma delta T cell,-4.86519e-05,1.1781584e-05,2417
CD3E,WNT5A,FZD10,WNT5A$FZD10,Gamma delta T cell,0.0,0.0,2417
CD3E,WNT5A,FZD4,WNT5A$FZD4,Gamma delta T cell,0.0,0.0,2417
CD3E,WNT5A,FZD6,WNT5A$FZD6,Gamma delta T cell,0.0,0.0,2417
CD3E,WNT5A,MCAM,WNT5A$MCAM,Gamma delta T cell,-7.9045356e-07,1.6756596e-07,2417
CD3E,FGF1,FGFR1,FGF1$FGFR1,Gamma delta T cell,-0.0005431829,0.00011438499,2417
CD3E,FGF2,FGFR1,FGF2$FGFR1,Gamma delta T cell,-0.00012198029,3.330131e-05,2417
CD3E,FGF7,FGFR1,FGF7$FGFR1,Gamma delta T cell,-0.00012088161,5.3237192e-05,2417
CD3E,PDGFA,PDGFRA,PDGFA$PDGFRA,Gamma delta T cell,-8.468662e-05,2.9099849e-05,2417
CD3E,PDGFA,PDGFRB,PDGFA$PDGFRB,Gamma delta T cell,-0.00029850384,7.2025876e-05,2417
CD3E,PDGFB,PDGFRA,PDGFB$PDGFRA,Gamma delta T cell,-2.0380583e-05,5.6109543e-06,2417
CD3E,PDGFB,PDGFRB,PDGFB$PDGFRB,Gamma delta T cell,-0.00011196032,3.5094698e-05,2417
CD3E,PDGFC,PDGFRA,PDGFC$PDGFRA,Gamma delta T cell,-0.0001827475,4.454986e-05,2417
CD3E,PDGFD,PDGFRB,PDGFD$PDGFRB,Gamma delta T cell,-7.4848955e-05,1.5726031e-05,2417
CD3E,VEGFA,KDR,VEGFA$KDR,Gamma delta T cell,0.0,0.0,2417
CD3E,IGF2,IGF2R,IGF2$IGF2R,Gamma delta T cell,-4.564272e-07,3.5622347e-07,2417
CD3E,IGF2,ITGAV,IGF2$ITGAV,Gamma delta T cell,-3.689613e-08,1.4443186e-08,2417
CD3E,APLN,APLNR,APLN$APLNR,Gamma delta T cell,0.0,0.0,2417
CD3E,CCL8,CCR1,CCL8$CCR1,Gamma delta T cell,8.580904e-05,2.1123176e-05,2417
CD3E,CCL13,CCR1,CCL13$CCR1,Gamma delta T cell,5.4761044e-06,3.4242862e-06,2417
CD3E,CCL14,CCR1,CCL14$CCR1,Gamma delta T cell,4.1774447e-07,7.3972586e-08,2417
CD3E,CCL8,CCR2,CCL8$CCR2,Gamma delta T cell,-6.285214e-07,1.6115867e-07,2417
CD3E,CXCL9,CXCR3,CXCL9$CXCR3,Gamma delta T cell,0.002296217,0.00032047665,2417
CD3E,CXCL10,CXCR3,CXCL10$CXCR3,Gamma delta T cell,0.0011666773,0.00024059569,2417
CD3E,CXCL11,CXCR3,CXCL11$CXCR3,Gamma delta T cell,0.00021452177,8.447076e-05,2417
CD3E,CXCL13,CXCR3,CXCL13$CXCR3,Gamma delta T cell,0.00011986249,3.0501536e-05,2417
CD3E,CXCL12,CXCR4,CXCL12$CXCR4,Gamma delta T cell,-2.2775965e-05,1.6124171e-05,2417
CD3E,CXCL11,ACKR3,CXCL11$ACKR3,Gamma delta T cell,-8.09362e-06,5.5415862e-06,2417
CD3E,CXCL12,ACKR3,CXCL12$ACKR3,Gamma delta T cell,4.5551533e-05,1.5593187e-05,2417
CD3E,CXCL16,CXCR6,CXCL16$CXCR6,Gamma delta T cell,0.0008796235,0.00018604331,2417
CD3E,IL7,IL2RG,IL7$IL2RG,Gamma delta T cell,0.00055534946,0.000102267324,2417
CD3E,IL15,IL2RB,IL15$IL2RB,Gamma delta T cell,6.090784e-05,4.4461183e-05,2417
CD3E,IL15,IL2RG,IL15$IL2RG,Gamma delta T cell,0.0010682264,0.00018729495,2417
CD3E,IL21,IL2RG,IL21$IL2RG,Gamma delta T cell,-4.2349644e-08,1.41177e-08,2417
