gene,metabolite,cell_type,mean,std,n
CD3E,Zinc,ISG CD8 T cell,-2.6467821e-06,6.5745974e-07,239
CD3E,Iron,ISG CD8 T cell,-0.0034051447,0.00047353882,239
CD3E,Cadmium,ISG CD8 T cell,-1.7532406e-06,9.675712e-07,239
CD3E,Manganese,ISG CD8 T cell,-8.004514e-06,2.5768636e-06,239
CD3E,L-Carnitine,ISG CD8 T cell,-1.2387949e-08,8.511258e-09,239
CD3E,Sodium,ISG CD8 T cell,-0.0009718526,0.00015515424,239
CD3E,Acetate,ISG CD8 T cell,-0.0034882503,0.00048419443,239
CD3E,L-Leucine,ISG CD8 T cell,-0.00042381402,9.2858485e-05,239
CD3E,L-Arginine,ISG CD8 T cell,7.130929e-05,2.2057535e-05,239
CD3E,Fatty acid,ISG CD8 T cell,-0.0013612625,0.00023091485,239
CD3E,25-Hydroxycholesterol,ISG CD8 T cell,-0.00081795326,0.00015126845,239
CD3E,Cholesterol,ISG CD8 T cell,1.763194e-05,5.1959764e-06,239
CD3E,Phosphate,ISG CD8 T cell,2.1602474e-07,6.789485e-08,239
CD3E,Ethanol,ISG CD8 T cell,-0.0006476125,0.00011859874,239
CD3E,Folic acid,ISG CD8 T cell,-3.7073856e-05,2.6438847e-05,239
CD3E,Heme,ISG CD8 T cell,-0.0008882129,0.00016129555,239
CD3E,Citric acid|Oxalic acid,ISG CD8 T cell,-0.001099649,0.0001813583,239
CD3E,Malic acid,ISG CD8 T cell,1.9902326e-07,5.7257854e-08,239
CD3E,L-Valine|L-Isoleucine,ISG CD8 T cell,-4.9892858e-08,3.3530814e-08,239
CD3E,Adenosine|Uridine|Inosine|Cytidine|Guanosine,ISG CD8 T cell,-0.00059127895,0.00011659463,239
CD3E,Thymidine,ISG CD8 T cell,-0.0005983368,0.0001219691,239
CD3E,Vitamin D3,ISG CD8 T cell,-6.377938e-07,1.6140214e-06,239
CD3E,Urea,ISG CD8 T cell,0.0,0.0,239
CD3E,Adenosine diphosphate ribose,ISG CD8 T cell,6.662976e-06,3.51841e-06,239
CD3E,Chloride ion,ISG CD8 T cell,1.8525462e-07,1.2590216e-07,239
CD3E,alpha-Tocopherol,ISG CD8 T cell,-1.7035389e-05,5.763818e-06,239
CD3E,Taurocholic acid,ISG CD8 T cell,-0.0024236795,0.00034668815,239
CD3E,Bilirubin,ISG CD8 T cell,5.2109403e-08,2.508161e-08,239
CD3E,Glutathione,ISG CD8 T cell,-2.9141738e-05,9.727163e-06,239
CD3E,Estradiol,ISG CD8 T cell,-0.00071280403,0.00013960275,239
CD3E,Adenosine triphosphate,ISG CD8 T cell,0.0013485813,0.0002241081,239
CD3E,Cholic acid,ISG CD8 T cell,9.300662e-05,3.265183e-05,239
CD3E,Leukotriene C4,ISG CD8 T cell,-8.039758e-06,2.0568143e-06,239
CD3E,ADP,ISG CD8 T cell,5.1216693e-07,9.8749744e-08,239
CD3E,Folinic acid,ISG CD8 T cell,1.5273625e-06,4.887564e-07,239
CD3E,Progesterone,ISG CD8 T cell,2.2795028e-05,7.2006615e-06,239
CD3E,17a-Ethynylestradiol,ISG CD8 T cell,3.5782334e-05,9.217913e-06,239
CD3E,Water,ISG CD8 T cell,1.2154068e-07,2.4861954e-08,239
CD3E,"3',4'-Dihydrodiol",ISG CD8 T cell,3.281668e-05,8.895443e-06,239
CD3E,4-ene-Valproic acid,ISG CD8 T cell,-4.573543e-05,1.2982832e-05,239
CD3E,O-Desmethylverapamil (D-702),ISG CD8 T cell,6.1218634e-05,4.2432595e-05,239
CD3E,4'-Hydroxydiclofenac,ISG CD8 T cell,7.027676e-05,1.8753164e-05,239
CD3E,Fusidic Acid,ISG CD8 T cell,-8.229424e-08,4.161284e-08,239
CD3E,Chloride,ISG CD8 T cell,0.00031574417,7.090823e-05,239
CD3E,Sodium_hydrogen exchange,ISG CD8 T cell,-2.0269576e-08,6.759359e-09,239
CD3E,Neurotransmitter,ISG CD8 T cell,-1.5954014e-05,4.525399e-06,239
CD3E,Anion exchange,ISG CD8 T cell,-5.4424544e-07,1.7455419e-07,239
CD3E,Calcium release-activated calcium transport,ISG CD8 T cell,3.193388e-06,2.1936658e-06,239
CD3E,Amiloride-sensitive sodium transport,ISG CD8 T cell,0.0,0.0,239
CD3E,Vitamin C,ISG CD8 T cell,-1.7719634e-06,4.0471224e-07,239
CD3E,D-Glucose,Proliferating CD8 T cell,0.00075872167,0.00013118717,1993
CD3E,D-Galactose|D-Mannose,Proliferating CD8 T cell,0.000837939,0.00016495415,1993
CD3E,Glucosamine,Proliferating CD8 T cell,4.747965e-08,3.6906474e-08,1993
CD3E,Docosahexaenoic acid|Dehydroascorbic acid,Proliferating CD8 T cell,0.00084986823,0.00016935622,1993
CD3E,D-Xylose|D-Maltose,Proliferating CD8 T cell,0.0005273336,0.00013873991,1993
CD3E,L-Glutamine,Proliferating CD8 T cell,-0.0018865103,0.00025648816,1993
CD3E,L-Alanine|L-Asparagine|L-Threonine,Proliferating CD8 T cell,-3.3012733e-05,1.1374792e-05,1993
CD3E,L-Cysteine,Proliferating CD8 T cell,-0.00021267164,5.454481e-05,1993
CD3E,L-Histidine|L-Tyrosine,Proliferating CD8 T cell,8.171361e-05,1.5839418e-05,1993
CD3E,L-Serine,Proliferating CD8 T cell,-9.460344e-05,2.39334e-05,1993
CD3E,L-Methionine|L-Phenylalanine,Proliferating CD8 T cell,-6.935306e-05,1.9328285e-05,1993
CD3E,L-Lactate,Proliferating CD8 T cell,-0.00034489803,9.2182876e-05,1993
CD3E,Pyruvate|Ketone bodies|Butyrate|D-Lactate|alpha-Ketoisovaleric acid,Proliferating CD8 T cell,-1.5611557e-05,8.97311e-06,1993
CD3E,Nicotinate,Proliferating CD8 T cell,-0.0021039257,0.0002806946,1993
CD3E,L-Glutamate,Proliferating CD8 T cell,-0.0008092064,0.00014637032,1993
CD3E,L-Aspartate|D-Aspartate,Proliferating CD8 T cell,2.2599404e-07,6.0402655e-08,1993
CD3E,L-Cystine,Proliferating CD8 T cell,-3.5332353e-06,1.6225549e-06,1993
CD3E,Zinc,Proliferating CD8 T cell,-2.7413066e-06,6.868307e-07,1993
CD3E,Iron,Proliferating CD8 T cell,-0.0034051144,0.00042205016,1993
CD3E,Cadmium,Proliferating CD8 T cell,-1.5410774e-06,1.0441787e-06,1993
CD3E,Manganese,Proliferating CD8 T cell,-8.632991e-06,2.7125868e-06,1993
CD3E,L-Carnitine,Proliferating CD8 T cell,-9.329965e-09,8.10673e-09,1993
CD3E,Sodium,Proliferating CD8 T cell,-0.00097510626,0.00014082297,1993
CD3E,Acetate,Proliferating CD8 T cell,-0.0034932739,0.0004296951,1993
CD3E,L-Leucine,Proliferating CD8 T cell,-0.00043275746,8.301218e-05,1993
CD3E,L-Arginine,Proliferating CD8 T cell,7.7117984e-05,2.1167303e-05,1993
CD3E,Fatty acid,Proliferating CD8 T cell,-0.0013588557,0.00021974034,1993
CD3E,25-Hydroxycholesterol,Proliferating CD8 T cell,-0.0008150176,0.00015721432,1993
CD3E,Cholesterol,Proliferating CD8 T cell,1.8084596e-05,4.001357e-06,1993
CD3E,Phosphate,Proliferating CD8 T cell,2.3747914e-07,7.0414174e-08,1993
CD3E,Ethanol,Proliferating CD8 T cell,-0.0006341606,0.0001281532,1993
CD3E,Folic acid,Proliferating CD8 T cell,-3.1476397e-05,2.6766984e-05,1993
CD3E,Heme,Proliferating CD8 T cell,-0.0008969316,0.00015780312,1993
CD3E,Citric acid|Oxalic acid,Proliferating CD8 T cell,-0.001091033,0.00018500649,1993
CD3E,Malic acid,Proliferating CD8 T cell,2.133887e-07,5.9588423e-08,1993
CD3E,L-Valine|L-Isoleucine,Proliferating CD8 T cell,-4.0550244e-08,3.507798e-08,1993
CD3E,Adenosine|Uridine|Inosine|Cytidine|Guanosine,Proliferating CD8 T cell,-0.0005972645,0.00011457323,1993
CD3E,Thymidine,Proliferating CD8 T cell,-0.00060413656,0.00011950641,1993
CD3E,Vitamin D3,Proliferating CD8 T cell,-4.419907e-07,3.6360396e-07,1993
CD3E,Urea,Proliferating CD8 T cell,0.0,0.0,1993
CD3E,Adenosine diphosphate ribose,Proliferating CD8 T cell,6.0153766e-06,3.928648e-06,1993
CD3E,Chloride ion,Proliferating CD8 T cell,1.692762e-07,1.2269884e-07,1993
CD3E,alpha-Tocopherol,Proliferating CD8 T cell,-1.771178e-05,6.276219e-06,1993
CD3E,Taurocholic acid,Proliferating CD8 T cell,-0.0024064295,0.00032371606,1993
CD3E,Bilirubin,Proliferating CD8 T cell,4.9855977e-08,2.8875363e-08,1993
CD3E,Glutathione,Proliferating CD8 T cell,-3.1112235e-05,9.856919e-06,1993
CD3E,Estradiol,Proliferating CD8 T cell,-0.00072770874,0.00013449231,1993
CD3E,Adenosine triphosphate,Proliferating CD8 T cell,0.0013553601,0.0002111713,1993
CD3E,Cholic acid,Proliferating CD8 T cell,9.070518e-05,3.4851073e-05,1993
CD3E,Leukotriene C4,Proliferating CD8 T cell,-7.210415e-06,1.9198098e-06,1993
CD3E,ADP,Proliferating CD8 T cell,5.168842e-07,1.0113987e-07,1993
CD3E,Folinic acid,Proliferating CD8 T cell,1.5907298e-06,5.411314e-07,1993
CD3E,Progesterone,Proliferating CD8 T cell,2.4380275e-05,7.958312e-06,1993
CD3E,17a-Ethynylestradiol,Proliferating CD8 T cell,3.763952e-05,9.686472e-06,1993
CD3E,Water,Proliferating CD8 T cell,1.2418262e-07,2.6438371e-08,1993
CD3E,"3',4'-Dihydrodiol",Proliferating CD8 T cell,3.4031567e-05,9.5758905e-06,1993
CD3E,4-ene-Valproic acid,Proliferating CD8 T cell,-4.984991e-05,1.2954683e-05,1993
CD3E,O-Desmethylverapamil (D-702),Proliferating CD8 T cell,5.777846e-05,4.8531572e-05,1993
CD3E,4'-Hydroxydiclofenac,Proliferating CD8 T cell,7.227692e-05,2.043954e-05,1993
CD3E,Fusidic Acid,Proliferating CD8 T cell,-6.837705e-08,3.7368483e-08,1993
CD3E,Chloride,Proliferating CD8 T cell,0.0003238074,7.514903e-05,1993
CD3E,Sodium_hydrogen exchange,Proliferating CD8 T cell,-2.2754293e-08,6.9459363e-09,1993
CD3E,Neurotransmitter,Proliferating CD8 T cell,-1.6500977e-05,4.815575e-06,1993
CD3E,Anion exchange,Proliferating CD8 T cell,-5.253241e-07,1.5380952e-07,1993
CD3E,Calcium release-activated calcium transport,Proliferating CD8 T cell,2.7803587e-06,2.2785973e-06,1993
CD3E,Amiloride-sensitive sodium transport,Proliferating CD8 T cell,0.0,0.0,1993
CD3E,Vitamin C,Proliferating CD8 T cell,-1.7037148e-06,3.6333765e-07,1993
CD3E,D-Glucose,other,9.025107e-05,0.0002430502,103187
