gene,tf,cell_type,mean,std,n
CD3G,SREBF1,ISG CD8 T cell,-0.14878465,0.041305184,239
CD3G,STAT1,ISG CD8 T cell,-0.010323823,0.004624517,239
CD3G,STAT2,ISG CD8 T cell,-0.12149266,0.028505668,239
CD3G,STAT3,ISG CD8 T cell,0.02754428,0.021574445,239
CD3G,TCF4,ISG CD8 T cell,-0.11450334,0.02496423,239
CD3G,WT1,ISG CD8 T cell,-0.07818267,0.010181951,239
CD3G,ZEB1,ISG CD8 T cell,0.28449982,0.05053896,239
CD3G,ZIC2,ISG CD8 T cell,-0.03141316,0.0036640167,239
CD3G,ZNF76,ISG CD8 T cell,0.20680724,0.027127234,239
CD3G,ATOH8,Proliferating CD8 T cell,-0.013159996,0.0014396658,1993
CD3G,BCL11A,Proliferating CD8 T cell,-0.35949972,0.042582903,1993
CD3G,BCL11B,Proliferating CD8 T cell,0.513301,0.055065297,1993
CD3G,CTCF,Proliferating CD8 T cell,0.10561224,0.011477344,1993
CD3G,CTCFL,Proliferating CD8 T cell,-0.020552818,0.0041712993,1993
CD3G,E2F3,Proliferating CD8 T cell,0.3840286,0.07347779,1993
CD3G,E2F4,Proliferating CD8 T cell,0.16020769,0.033376925,1993
CD3G,EBF1,Proliferating CD8 T cell,-0.1766698,0.022006148,1993
CD3G,EP300,Proliferating CD8 T cell,0.022720525,0.0029931432,1993
CD3G,ETS1,Proliferating CD8 T cell,0.40344512,0.045500606,1993
CD3G,FOXA1,Proliferating CD8 T cell,0.08625737,0.008350042,1993
CD3G,HNF4A,Proliferating CD8 T cell,0.0961713,0.011521349,1993
CD3G,IRF1,Proliferating CD8 T cell,0.045179527,0.004133701,1993
CD3G,IRF3,Proliferating CD8 T cell,2.9472114e-05,0.0014577818,1993
CD3G,IRF4,Proliferating CD8 T cell,-0.071031205,0.044783004,1993
CD3G,IRF8,Proliferating CD8 T cell,-0.19991452,0.0624865,1993
CD3G,LMO2,Proliferating CD8 T cell,-0.14556432,0.044133313,1993
CD3G,MAFF,Proliferating CD8 T cell,-0.29400826,0.04432893,1993
CD3G,MAX,Proliferating CD8 T cell,0.009026997,0.0011037104,1993
CD3G,MYC,Proliferating CD8 T cell,-0.23288885,0.027485106,1993
CD3G,NHLH2,Proliferating CD8 T cell,-0.0040813135,0.0008127452,1993
CD3G,NR3C1,Proliferating CD8 T cell,-0.101656705,0.014889612,1993
CD3G,NR4A1,Proliferating CD8 T cell,0.04159584,0.008862094,1993
CD3G,NR4A3,Proliferating CD8 T cell,0.048096117,0.02105831,1993
CD3G,PAX5,Proliferating CD8 T cell,-0.10005531,0.011343452,1993
CD3G,PAX6,Proliferating CD8 T cell,-0.011552027,0.001647713,1993
CD3G,REL,Proliferating CD8 T cell,0.13840534,0.013675941,1993
