gene,tf,cell_type,mean,std,n
CD3E,ELK4,Proliferating CD8 T cell,1.4248214,0.2368626,1993
CD3E,EP300,Proliferating CD8 T cell,0.24416257,0.06511352,1993
CD3E,ESRRA,Proliferating CD8 T cell,-0.45810482,0.18159278,1993
CD3E,ETV5,Proliferating CD8 T cell,-0.8453267,0.09607886,1993
CD3E,FLI1,Proliferating CD8 T cell,2.4436798,0.2318633,1993
CD3E,FOXA1,Proliferating CD8 T cell,0.37220886,0.041753095,1993
CD3E,FOXD2,Proliferating CD8 T cell,0.10115142,0.058554493,1993
CD3E,FOXI1,Proliferating CD8 T cell,-0.030105606,0.0026065833,1993
CD3E,FOXJ2,Proliferating CD8 T cell,0.016092334,0.027779952,1993
CD3E,FOXL2,Proliferating CD8 T cell,0.17006777,0.019171357,1993
CD3E,FOXO1,Proliferating CD8 T cell,0.11600999,0.054121003,1993
CD3E,FOXO3,Proliferating CD8 T cell,-0.343049,0.037394706,1993
CD3E,FOXO4,Proliferating CD8 T cell,2.782486,0.34324086,1993
CD3E,GATA1,Proliferating CD8 T cell,-0.2097937,0.04057579,1993
CD3E,GATA2,Proliferating CD8 T cell,-0.6792318,0.07658422,1993
CD3E,GATA3,Proliferating CD8 T cell,2.2835898,0.31564122,1993
CD3E,HOXA5,Proliferating CD8 T cell,-0.5281824,0.15831096,1993
CD3E,HOXB4,Proliferating CD8 T cell,-0.46912923,0.048918385,1993
CD3E,HOXB6,Proliferating CD8 T cell,0.4339857,0.06414785,1993
CD3E,HOXB7,Proliferating CD8 T cell,-0.029623162,0.009197101,1993
CD3E,HOXB9,Proliferating CD8 T cell,0.016285427,0.017721612,1993
CD3E,IRX1,Proliferating CD8 T cell,-1.557947,0.23766428,1993
CD3E,MECOM,Proliferating CD8 T cell,0.45024437,0.049989663,1993
CD3E,MEF2A,Proliferating CD8 T cell,-1.2755855,0.15352593,1993
CD3E,MYEF2,Proliferating CD8 T cell,-0.20217906,0.17185397,1993
CD3E,NR3C1,Proliferating CD8 T cell,-0.56087863,0.21764782,1993
CD3E,PDX1,Proliferating CD8 T cell,0.34176132,0.034768067,1993
CD3E,PITX1,Proliferating CD8 T cell,0.10305252,0.0074979817,1993
CD3E,POU1F1,Proliferating CD8 T cell,-0.3478709,0.03989088,1993
CD3E,POU2F1,Proliferating CD8 T cell,-0.13626008,0.10870125,1993
CD3E,PPARGC1A,Proliferating CD8 T cell,-0.4587256,0.046823636,1993
CD3E,RUNX1,Proliferating CD8 T cell,0.0013408199,0.009985322,1993
CD3E,SIN3A,Proliferating CD8 T cell,1.3054237,0.15247326,1993
CD3E,SMAD4,Proliferating CD8 T cell,-0.58591825,0.06585673,1993
CD3E,STAT1,Proliferating CD8 T cell,-0.13120788,0.021764949,1993
CD3E,STAT3,Proliferating CD8 T cell,-0.8289922,0.105698876,1993
CD3E,STAT5A,Proliferating CD8 T cell,0.4347205,0.048318937,1993
CD3E,STAT5B,Proliferating CD8 T cell,1.923615,0.21774647,1993
CD3E,TCF7L2,Proliferating CD8 T cell,-1.7086909,0.19848356,1993
CD3E,THRA,Proliferating CD8 T cell,0.64201915,0.41736272,1993
CD3E,THRB,Proliferating CD8 T cell,-0.86343414,0.109237365,1993
CD3E,ZBTB1,Proliferating CD8 T cell,2.4270015,0.27327478,1993
CD3E,ARID3B,other,0.10776691,0.20818977,103187
CD3E,BCL6,other,-0.23708837,0.71972895,103187
CD3E,BCL6B,other,-0.07130943,0.15555671,103187
CD3E,CTCF,other,0.06121935,0.12600976,103187
CD3E,EHF,other,0.046252593,0.10594196,103187
CD3E,ELK4,other,0.22619176,0.45671818,103187
CD3E,EP300,other,0.010675944,0.112046026,103187
CD3E,ESRRA,other,-0.051588662,0.16488717,103187
CD3E,ETV5,other,-0.14310396,0.2845266,103187
CD3E,FLI1,other,0.45061976,0.75381154,103187
CD3E,FOXA1,other,0.043111343,0.123100504,103187
CD3E,FOXD2,other,0.017860863,0.06803774,103187
CD3E,FOXI1,other,-0.009521935,0.04207066,103187
CD3E,FOXJ2,other,0.026690973,0.12900144,103187
CD3E,FOXL2,other,0.018774293,0.0612587,103187
CD3E,FOXO1,other,0.029379668,0.109518185,103187
CD3E,FOXO3,other,-0.09458312,0.12501138,103187
CD3E,FOXO4,other,0.32595056,0.8973084,103187
CD3E,GATA1,other,-0.029445274,0.0704079,103187
CD3E,GATA2,other,-0.116784,0.30816886,103187
CD3E,GATA3,other,0.40607864,0.7458702,103187
CD3E,HOXA5,other,-0.06273914,0.17504786,103187
CD3E,HOXB4,other,-0.09705161,0.14940396,103187
CD3E,HOXB6,other,0.04765618,0.16060357,103187
CD3E,HOXB7,other,0.0048137372,0.020832947,103187
CD3E,HOXB9,other,0.009808971,0.051057503,103187
CD3E,IRX1,other,-0.20624979,0.5073015,103187
CD3E,MECOM,other,0.05260415,0.14638789,103187
CD3E,MEF2A,other,-0.14738436,0.41372022,103187
CD3E,MYEF2,other,-0.018443948,0.11448851,103187
CD3E,NR3C1,other,-0.059605736,0.2164486,103187
CD3E,PDX1,other,0.05141345,0.109384105,103187
CD3E,PITX1,other,0.022067955,0.04845086,103187
CD3E,POU1F1,other,-0.03524751,0.11535687,103187
CD3E,POU2F1,other,-0.046777822,0.06891649,103187
CD3E,PPARGC1A,other,-0.08569684,0.14475848,103187
CD3E,RUNX1,other,0.008572426,0.10927589,103187
CD3E,SIN3A,other,0.15136623,0.42382443,103187
CD3E,SMAD4,other,-0.101550385,0.21119902,103187
CD3E,STAT1,other,0.028624658,0.09181324,103187
CD3E,STAT3,other,-0.09322826,0.27346992,103187
CD3E,STAT5A,other,0.07979343,0.15632114,103187
CD3E,STAT5B,other,0.24214272,0.6355478,103187
CD3E,TCF7L2,other,-0.21819703,0.5574962,103187
CD3E,THRA,other,0.07051768,0.27613404,103187
CD3E,THRB,other,-0.1200074,0.275332,103187
CD3E,ZBTB1,other,0.29044077,0.7815344,103187
CD4,ATOH8,Effector CD8 T cell,-0.098455146,0.044949286,4715
CD4,BATF3,Effector CD8 T cell,-0.13151398,0.105912276,4715
CD4,BCL3,Effector CD8 T cell,0.23221102,0.12819266,4715
CD4,CTCF,Effector CD8 T cell,0.20158142,0.024183372,4715
CD4,CTCFL,Effector CD8 T cell,0.007916801,0.017201036,4715
CD4,E2F1,Effector CD8 T cell,0.43113697,0.3659248,4715
CD4,E2F3,Effector CD8 T cell,0.2331587,0.10943095,4715
CD4,E2F4,Effector CD8 T cell,-0.046901923,0.08683731,4715
CD4,EGR2,Effector CD8 T cell,-0.16106555,0.14005907,4715
CD4,EGR3,Effector CD8 T cell,0.31039014,0.047238804,4715
CD4,EGR4,Effector CD8 T cell,-0.2689563,0.014886235,4715
CD4,ELK1,Effector CD8 T cell,0.20645797,0.16981493,4715
CD4,ETS1,Effector CD8 T cell,0.04512033,0.032644916,4715
CD4,FOXA1,Effector CD8 T cell,-0.1782129,0.010383271,4715
CD4,FOXC1,Effector CD8 T cell,-0.75813425,0.31763923,4715
CD4,FOXD2,Effector CD8 T cell,-0.14401057,0.0628964,4715
CD4,FOXE1,Effector CD8 T cell,0.059675742,0.026365342,4715
CD4,FOXE3,Effector CD8 T cell,0.00031499605,0.005194713,4715
CD4,FOXI1,Effector CD8 T cell,-0.013927493,0.0018435143,4715
CD4,FOXL2,Effector CD8 T cell,-0.18785886,0.10739736,4715
CD4,FOXO1,Effector CD8 T cell,0.04220864,0.035838883,4715
