gene,ligand,receptor,pair,cell_type,mean,std,n
CD3E,TGFB3,ACVR1,TGFB3$ACVR1,Gamma delta T cell,6.6562684e-08,4.6737036e-08,2417
CD3E,BMP7,BMPR2,BMP7$BMPR2,Gamma delta T cell,0.0,0.0,2417
CD3E,BMP8A,BMPR2,BMP8A$BMPR2,Gamma delta T cell,-4.419325e-08,2.0953435e-08,2417
CD3E,BMP8B,ACVR1,BMP8B$ACVR1,Gamma delta T cell,1.2074321e-07,8.8132076e-08,2417
CD3E,BMP8B,ACVR2A,BMP8B$ACVR2A,Gamma delta T cell,9.673036e-08,3.0609442e-08,2417
CD3E,BMP8B,BMPR2,BMP8B$BMPR2,Gamma delta T cell,-6.3565453e-06,1.89505e-06,2417
CD3E,BMP8B,BMPR1A,BMP8B$BMPR1A,Gamma delta T cell,7.336454e-07,1.895472e-07,2417
CD3E,GDF11,TGFBR1,GDF11$TGFBR1,Gamma delta T cell,-1.0088504e-06,1.3538403e-06,2417
CD3E,GDF11,ACVR2A,GDF11$ACVR2A,Gamma delta T cell,-1.4901374e-06,8.53966e-07,2417
CD3E,GDF11,ACVR1B,GDF11$ACVR1B,Gamma delta T cell,-4.927491e-07,2.0478201e-07,2417
CD3E,GDF15,TGFBR2,GDF15$TGFBR2,Gamma delta T cell,0.00017667233,7.345821e-05,2417
CD3E,INHBA,ACVR1B,INHBA$ACVR1B,Gamma delta T cell,-2.2116478e-07,9.451343e-08,2417
CD3E,INHBA,ACVR2A,INHBA$ACVR2A,Gamma delta T cell,-1.0184434e-05,4.2890547e-06,2417
CD3E,WNT2,FZD1,WNT2$FZD1,Gamma delta T cell,-8.857975e-07,1.0995525e-06,2417
CD3E,WNT2,LRP5,WNT2$LRP5,Gamma delta T cell,2.5730582e-08,3.001412e-08,2417
CD3E,WNT3,FZD1,WNT3$FZD1,Gamma delta T cell,-1.348459e-08,5.555975e-09,2417
CD3E,WNT3,FZD10,WNT3$FZD10,Gamma delta T cell,0.0,0.0,2417
CD3E,WNT3,FZD4,WNT3$FZD4,Gamma delta T cell,0.0,0.0,2417
CD3E,WNT2,LRP6,WNT2$LRP6,Gamma delta T cell,7.168457e-08,2.2397074e-08,2417
CD3E,WNT3,LRP6,WNT3$LRP6,Gamma delta T cell,0.0,0.0,2417
CD3E,WNT5A,FZD1,WNT5A$FZD1,Gamma delta T cell,-3.1859232e-05,2.3283434e-05,2417
CD3E,WNT5A,FZD10,WNT5A$FZD10,Gamma delta T cell,0.0,0.0,2417
CD3E,WNT5A,FZD4,WNT5A$FZD4,Gamma delta T cell,0.0,0.0,2417
CD3E,WNT5A,FZD6,WNT5A$FZD6,Gamma delta T cell,0.0,0.0,2417
CD3E,WNT5A,MCAM,WNT5A$MCAM,Gamma delta T cell,-1.5313674e-07,1.4607618e-07,2417
CD3E,FGF1,FGFR1,FGF1$FGFR1,Gamma delta T cell,-0.0005905149,0.0001069469,2417
CD3E,FGF2,FGFR1,FGF2$FGFR1,Gamma delta T cell,-8.6738975e-05,6.2823376e-05,2417
CD3E,FGF7,FGFR1,FGF7$FGFR1,Gamma delta T cell,-0.00026642147,7.1708746e-05,2417
CD3E,PDGFA,PDGFRA,PDGFA$PDGFRA,Gamma delta T cell,-8.742266e-05,2.9299837e-05,2417
CD3E,PDGFA,PDGFRB,PDGFA$PDGFRB,Gamma delta T cell,-0.00040745182,0.00010575919,2417
