gene,metabolite,cell_type,mean,std,n
HAVCR2,Citric acid|Oxalic acid,Proliferating CD8 T cell,1.2029922e-06,5.370521e-05,1993
HAVCR2,D-Galactose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid,Proliferating CD8 T cell,9.771529e-06,0.00043623065,1993
HAVCR2,D-Glucose,Proliferating CD8 T cell,1.0140302e-05,0.00045269378,1993
HAVCR2,D-Maltose|D-Xylose,Proliferating CD8 T cell,4.2304673e-06,0.00018886087,1993
HAVCR2,Estradiol,Proliferating CD8 T cell,1.2219257e-06,5.4550463e-05,1993
HAVCR2,Ethanol,Proliferating CD8 T cell,4.988983e-07,2.227233e-05,1993
HAVCR2,Fatty acid,Proliferating CD8 T cell,3.5434874e-05,0.0015819202,1993
HAVCR2,Folic acid,Proliferating CD8 T cell,-9.521198e-09,4.2505513e-07,1993
HAVCR2,Glutathione,Proliferating CD8 T cell,5.188861e-09,2.3164645e-07,1993
HAVCR2,Heme,Proliferating CD8 T cell,3.5317404e-07,1.5766758e-05,1993
HAVCR2,Iron,Proliferating CD8 T cell,9.2888314e-08,4.1468156e-06,1993
HAVCR2,L-Arginine|L-Histidine|L-Tyrosine,Proliferating CD8 T cell,9.363356e-08,4.1800854e-06,1993
HAVCR2,L-Cystine,Proliferating CD8 T cell,1.3979256e-07,6.2407635e-06,1993
HAVCR2,L-Lactate,Proliferating CD8 T cell,1.0915475e-07,4.8729985e-06,1993
HAVCR2,L-Methionine|L-Phenylalanine,Proliferating CD8 T cell,3.2332974e-08,1.4434418e-06,1993
HAVCR2,Neurotransmitter,Proliferating CD8 T cell,8.708506e-08,3.887741e-06,1993
HAVCR2,Nicotinate,Proliferating CD8 T cell,1.5296403e-06,6.828777e-05,1993
HAVCR2,Sodium,Proliferating CD8 T cell,1.668486e-06,7.448627e-05,1993
HAVCR2,Taurocholic acid,Proliferating CD8 T cell,2.5840397e-06,0.00011535936,1993
HAVCR2,Vitamin D3,Proliferating CD8 T cell,4.2638217e-06,0.00019034992,1993
HAVCR2,Zinc,Proliferating CD8 T cell,2.1720727e-09,9.696791e-08,1993
HAVCR2,alpha-Tocopherol,Proliferating CD8 T cell,1.0328397e-08,4.6109093e-07,1993
HAVCR2,25-Hydroxycholesterol,other,0.002357442,0.004874096,103187
HAVCR2,Acetate,other,0.00087726954,0.00179872,103187
HAVCR2,Adenine,other,2.0156791e-05,4.8028407e-05,103187
HAVCR2,Adenosine|Cytidine|Guanosine|Inosine|Thymidine|Uridine,other,0.000121966754,0.00026757055,103187
HAVCR2,Adenosine diphosphate ribose,other,-5.3463154e-06,1.2828157e-05,103187
HAVCR2,Adenosine triphosphate,other,0.00033033965,0.0007145567,103187
HAVCR2,Cadmium|Manganese,other,3.4418477e-07,8.0611176e-07,103187
HAVCR2,Chloride,other,6.894333e-05,0.00016148307,103187
HAVCR2,Cholesterol,other,0.001560419,0.0032268506,103187
HAVCR2,Citric acid|Oxalic acid,other,0.00043594564,0.0008949399,103187
HAVCR2,D-Galactose|D-Mannose|Dehydroascorbic acid|Docosahexaenoic acid,other,0.0035995373,0.0073842346,103187
