gene,ligand,receptor,pair,cell_type,mean,std,n
ATP1A1,LAMB3,ITGA3,LAMB3$ITGA3,IEC,3.8902317e-07,2.089025e-08,4522
ATP1A1,COL6A2,ITGA3,COL6A2$ITGA3,IEC,-1.704882e-08,7.5217893e-10,4522
ATP1A1,LAMB3,ITGA6,LAMB3$ITGA6,IEC,8.3177315e-07,3.4050505e-08,4522
ATP1A1,LAMA3,ITGB4,LAMA3$ITGB4,IEC,1.6627418e-08,1.873425e-09,4522
ATP1A1,LAMB3,ITGB4,LAMB3$ITGB4,IEC,2.1475624e-07,3.817484e-08,4522
ATP1A1,THBS1,SDC4,THBS1$SDC4,IEC,3.0953723e-07,1.5597358e-08,4522
ATP1A1,CD99,CD99,CD99$CD99,IEC,7.97934e-06,3.4972894e-07,4522
ATP1A1,CDH1,CDH1,CDH1$CDH1,IEC,-1.0909089e-05,1.1882463e-06,4522
ATP1A1,CDH1,ITGA2,CDH1$ITGA2,IEC,1.2870199e-06,1.8924426e-08,4522
ATP1A1,F11R,F11R,F11R$F11R,IEC,-2.608258e-05,3.2015005e-06,4522
ATP1A1,HLA-DRA,CD4,HLA-DRA$CD4,IEC,0.0,0.0,4522
ATP1A1,HLA-DRB1,CD4,HLA-DRB1$CD4,IEC,0.0,0.0,4522
