sample_id,tier,cell_type_1,cell_type_2,gene1,gene2,tcell_involvement,metabolites,FDR_np,pval_np,C_np
Human_Cervical_Cancer,Tier1,other,other,SLCO1B1,SLCO1B3,within_other,"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid | 1b,3a,12a-Trihydroxy-5b-cholanoic acid | 3-Sulfodeoxycholic acid | 3alpha,7alpha-Dihydroxycoprostanic acid | 3b-Hydroxy-5-cholenoic acid | 4-Hydroxyvalsartan | Chenodeoxycholic acid | Chenodeoxycholic acid 3-sulfate | Cholic acid | Coprocholic acid | Dehydroepiandrosterone | Deoxycholic acid | Glycochenodeoxycholate-3-sulfate | Hyodeoxycholic acid | Isoursodeoxycholic acid | Lithocholic acid | Sulfolithocholic acid | Taurocholic acid | Trihydroxycoprostanoic acid | Ursocholic acid | Ursodeoxycholic acid | Ursodeoxycholic acid 3-sulfate | Varanic acid",0.0032674092824468,0.0009990009990009,333.03122
Human_Cervical_Cancer,Tier1,other,other,TAP1,TAP1,within_other,Adenosine triphosphate,0.0032674092824468,0.0009990009990009,157115.75
Human_Cervical_Cancer,Tier1,other,other,ATP7A,TAP1,within_other,Adenosine triphosphate,0.0032674092824468,0.0009990009990009,24070.14
Human_Cervical_Cancer,Tier1,other,other,AQP7,AQP7,within_other,Water,0.0032674092824468,0.0009990009990009,639622.1
Human_Cervical_Cancer,Tier1,other,other,AQP5,AQP5,within_other,Water,0.0032674092824468,0.0009990009990009,6426.2397
Human_Cervical_Cancer,Tier1,other,other,AQP1,AQP1,within_other,Water,0.0032674092824468,0.0009990009990009,16549.707
Human_Cervical_Cancer,Tier1,other,other,AQP1,ATP7B,within_other,Water,0.0032674092824468,0.0009990009990009,1804.2665
Human_Cervical_Cancer,Tier1,other,other,AQP1,AQP7,within_other,Water,0.0032674092824468,0.0009990009990009,29111.932
Human_Cervical_Cancer,Tier1,other,other,AQP9,AQP9,within_other,Water,0.0032674092824468,0.0009990009990009,2532.1265
Human_Cervical_Cancer,Tier1,other,other,ABCC1,SLC22A4,within_other,O-Desmethylverapamil (D-702),0.0032674092824468,0.0009990009990009,9219.151
Human_Cervical_Cancer,Tier1,other,other,ABCC4,SLC22A5,within_other,O-Desmethylverapamil (D-702),0.0032674092824468,0.0009990009990009,1814.1991
Human_Cervical_Cancer,Tier1,other,other,ABCC1,SLC22A5,within_other,O-Desmethylverapamil (D-702),0.0032674092824468,0.0009990009990009,15185.97
Human_Cervical_Cancer,Tier1,other,other,SLC24A1,SLC24A1,within_other,Sodium_calcium_potassium exchange,0.0032674092824468,0.0009990009990009,2508.2036
Human_Cervical_Cancer,Tier1,other,other,CLCN4,CLCN5,within_other,Chloride,0.0032674092824468,0.0009990009990009,1154.3442
Human_Cervical_Cancer,Tier1,other,other,CLCN3,CLCN3,within_other,Chloride,0.0032674092824468,0.0009990009990009,42546.047
Human_Cervical_Cancer,Tier1,other,other,CLCN5,CLCN5,within_other,Chloride,0.0032674092824468,0.0009990009990009,5804.05
Human_Cervical_Cancer,Tier1,other,other,CLCN3,CLCN5,within_other,Chloride,0.0032674092824468,0.0009990009990009,1214.5117
Human_Cervical_Cancer,Tier1,other,other,CLCN4,CLCN4,within_other,Chloride,0.0032674092824468,0.0009990009990009,1530.0374
Human_Cervical_Cancer,Tier1,other,other,CLCN3,CLCN4,within_other,Chloride,0.0032674092824468,0.0009990009990009,6022.844
Human_Cervical_Cancer,Tier1,other,other,SLC9A1,SLC9A1,within_other,Sodium_hydrogen exchange,0.0032674092824468,0.0009990009990009,9230.1875
Human_Cervical_Cancer,Tier1,other,other,SLC6A9,SLC6A9,within_other,Neurotransmitter,0.0032674092824468,0.0009990009990009,12982.879
Human_Cervical_Cancer,Tier1,other,other,SLC26A2,SLC26A2,within_other,Anion exchange,0.0032674092824468,0.0009990009990009,9104.621
Human_Cervical_Cancer,Tier1,other,other,ORAI3,ORAI3,within_other,Calcium release-activated calcium transport,0.0032674092824468,0.0009990009990009,56260.875
Human_Cervical_Cancer,Tier1,other,other,SCNN1A,SCNN1G,within_other,Amiloride-sensitive sodium transport,0.0032674092824468,0.0009990009990009,7123.0835
Human_Cervical_Cancer,Tier1,other,other,SCNN1G,SCNN1G,within_other,Amiloride-sensitive sodium transport,0.0032674092824468,0.0009990009990009,185756.44
Human_Cervical_Cancer,Tier1,other,other,SCNN1A,SCNN1A,within_other,Amiloride-sensitive sodium transport,0.0032674092824468,0.0009990009990009,16945.6
Human_Cervical_Cancer,Tier1,other,other,SLC23A2,SLC23A2,within_other,Vitamin C,0.0032674092824468,0.0009990009990009,4967.9785
Human_Cervical_Cancer,Tier1,other,other,SLC38A7,SLC7A5,within_other,L-Glutamine,0.0062527400656897,0.0019980019980019,9477.135
Human_Cervical_Cancer,Tier1,other,other,SLC16A4,SLC16A4,within_other,Acetate | L-Lactate,0.0062527400656897,0.0019980019980019,1884.24
Human_Cervical_Cancer,Tier1,other,other,SLC22A4,SLC22A4,within_other,L-Carnitine | O-Desmethylverapamil (D-702) | Putrescine | Sodium | Spermine | Testosterone,0.0062527400656897,0.0019980019980019,1543.9767
Human_Cervical_Cancer,Tier1,other,other,SLC22A4,SLC5A1,within_other,Sodium,0.0062527400656897,0.0019980019980019,763.0247
Human_Cervical_Cancer,Tier1,other,other,SCARB1,SCARB1,within_other,alpha-Tocopherol,0.0062527400656897,0.0019980019980019,2508.2363
Human_Cervical_Cancer,Tier1,other,other,SLC22A4,SLC29A1,within_other,Sodium,0.0089294267376459,0.0029970029970029,3585.1885
Human_Cervical_Cancer,Tier1,other,other,AQP5,ATP7B,within_other,Water,0.0089294267376459,0.0029970029970029,427.81253
Human_Cervical_Cancer,Tier1,other,other,ABCC3,FOLR2,within_other,Folic acid,0.011435932488564,0.0039960039960039,635.7368
Human_Cervical_Cancer,Tier1,other,other,SLC26A3,SLC26A3,within_other,Anion exchange,0.011435932488564,0.0039960039960039,227.777
